Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date,ProductID,CropName
Dry Maize,White Maize,-,-,Kutus,46.00/Kg,60.00/Kg,,Kirinyaga,2026-01-29,1,Product-1
Dry Maize,White Maize,-,-,Kerugoya,55.00/Kg,70.00/Kg,4500.0,Kirinyaga,2026-01-29,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-01-29,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-01-29,1,Product-1
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-01-29,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,38.89/Kg,44.44/Kg,500.0,Trans-Nzoia,2026-01-29,1,Product-1
Dry Maize,White Maize,-,-,Mulot,50.00/Kg,70.00/Kg,8400.0,Bomet,2026-01-28,1,Product-1
Dry Maize,White Maize,-,-,Kakamega Town,40.00/Kg,60.00/Kg,20000.0,Kakamega,2026-01-28,1,Product-1
Dry Maize,White Maize,-,-,Sabatia,44.44/Kg,47.83/Kg,31500.0,Kakamega,2026-01-28,1,Product-1
Dry Maize,White Maize,-,-,Kitale Municipality Market,50.00/Kg,65.00/Kg,300.0,Trans-Nzoia,2026-01-28,1,Product-1
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-01-28,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-01-28,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-01-28,1,Product-1
Dry Maize,White Maize,-,-,Kerugoya,50.00/Kg,70.00/Kg,4500.0,Kirinyaga,2026-01-27,1,Product-1
Dry Maize,Yellow Maize,-,-,Holo,-,60.00/Kg,,Kisumu,2026-01-27,1,Product-1
Dry Maize,White Maize,-,-,Holo,45.56/Kg,50.00/Kg,,Kisumu,2026-01-27,1,Product-1
Dry Maize,White Maize,-,-,Ahero,55.00/Kg,60.00/Kg,30000.0,Kisumu,2026-01-27,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Ahero,55.00/Kg,60.00/Kg,5000.0,Kisumu,2026-01-27,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Bondeni,50.00/Kg,60.00/Kg,500.0,Trans-Nzoia,2026-01-27,1,Product-1
Dry Maize,White Maize,-,-,Kangemi Market,46.67/Kg,70.00/Kg,,Nairobi,2026-01-27,1,Product-1
Dry Maize,White Maize,-,-,Maua,55.56/Kg,70.00/Kg,7200.0,Meru,2026-01-27,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Nkubu,44.44/Kg,50.00/Kg,810.0,Meru,2026-01-27,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-01-27,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-01-27,1,Product-1
Dry Maize,White Maize,-,-,Kapkwen,48.89/Kg,52.00/Kg,36000.0,Bomet,2026-01-27,1,Product-1
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-01-27,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,40.00/Kg,44.44/Kg,400.0,Trans-Nzoia,2026-01-27,1,Product-1
Dry Maize,White Maize,-,-,Ngurubani Market,50.00/Kg,60.00/Kg,5200.0,Kirinyaga,2026-01-26,1,Product-1
Dry Maize,White Maize,-,-,Kagio,40.00/Kg,64.00/Kg,,Kirinyaga,2026-01-26,1,Product-1
Dry Maize,White Maize,-,-,Kangeta,50.00/Kg,60.00/Kg,1150.0,Meru,2026-01-26,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-01-26,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,50.00/Kg,65.00/Kg,,Nairobi,2026-01-26,1,Product-1
Dry Maize,White Maize,-,-,Muhoroni,42.31/Kg,46.15/Kg,3500.0,Kisumu,2026-01-25,1,Product-1
Dry Maize,Yellow Maize,-,-,Kibuye,-,65.00/Kg,,Kisumu,2026-01-25,1,Product-1
Dry Maize,White Maize,-,-,Kibuye,53.33/Kg,55.00/Kg,,Kisumu,2026-01-25,1,Product-1
Dry Maize,White Maize,-,-,Makutano Kirinyaga,34.00/Kg,40.00/Kg,2800.0,Kirinyaga,2026-01-24,1,Product-1
Dry Maize,White Maize,-,-,Kakamega Town,40.00/Kg,50.00/Kg,30000.0,Kakamega,2026-01-24,1,Product-1
Dry Maize,White Maize,-,-,Kerugoya,55.00/Kg,70.00/Kg,4500.0,Kirinyaga,2026-01-23,1,Product-1
Dry Maize,White Maize,-,-,Ngurubani Market,40.00/Kg,45.00/Kg,6250.0,Kirinyaga,2026-01-23,1,Product-1
Dry Maize,White Maize,-,-,Ndanai Market,47.78/Kg,150.00/Kg,36000.0,Bomet,2026-01-23,1,Product-1
Dry Maize,White Maize,-,-,Gakoromone,51.11/Kg,52.22/Kg,40000.0,Meru,2026-01-23,1,Product-1
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-01-23,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-01-23,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,50.00/Kg,65.00/Kg,,Nairobi,2026-01-23,1,Product-1
Dry Maize,White Maize,-,-,Voi Retail,-,65.00/Kg,360.0,Taita-Taveta,2026-01-23,1,Product-1
Dry Maize,White Maize,-,-,Mumias,-,54.55/Kg,,Kakamega,2026-01-23,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,40.00/Kg,44.44/Kg,300.0,Trans-Nzoia,2026-01-23,1,Product-1
Dry Maize,White Maize,-,-,Katito,55.56/Kg,69.31/Kg,7500.0,Kisumu,2026-01-22,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-01-22,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,50.00/Kg,65.00/Kg,,Nairobi,2026-01-22,1,Product-1
Dry Maize,White Maize,-,-,Kitale Municipality Market,40.00/Kg,44.44/Kg,500.0,Trans-Nzoia,2026-01-22,1,Product-1
Dry Maize,White Maize,-,-,Sabatia,42.22/Kg,50.00/Kg,13500.0,Kakamega,2026-01-21,1,Product-1
Dry Maize,White Maize,-,-,Mwingi Town,46.67/Kg,55.00/Kg,36000.0,Kitui,2026-01-21,1,Product-1
Dry Maize,White Maize,-,-,Kakamega Town,38.89/Kg,50.00/Kg,30000.0,Kakamega,2026-01-21,1,Product-1
Dry Maize,White Maize,-,-,Kangeta,50.00/Kg,60.00/Kg,1200.0,Meru,2026-01-21,1,Product-1
Dry Maize,White Maize,-,-,Ngurubani Market,50.00/Kg,60.00/Kg,6580.0,Kirinyaga,2026-01-20,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Bondeni,50.00/Kg,60.00/Kg,400.0,Trans-Nzoia,2026-01-20,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Kagio,46.67/Kg,64.00/Kg,,Kirinyaga,2026-01-20,1,Product-1
Dry Maize,White Maize,-,-,Musoli Market,43.33/Kg,50.00/Kg,16200.0,Kakamega,2026-01-20,1,Product-1
Dry Maize,White Maize,-,-,Maua,50.00/Kg,60.00/Kg,6300.0,Meru,2026-01-20,1,Product-1
Dry Maize,White Maize,-,-,Mogogosiek Market,41.67/Kg,54.17/Kg,10800.0,Bomet,2026-01-20,1,Product-1
Dry Maize,White Maize,-,-,Ahero,70.00/Kg,75.00/Kg,20000.0,Kisumu,2026-01-20,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Ahero,70.00/Kg,75.00/Kg,4300.0,Kisumu,2026-01-20,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Nkubu,44.44/Kg,50.00/Kg,630.0,Meru,2026-01-20,1,Product-1
Dry Maize,White Maize,-,-,Kitale Municipality Market,50.00/Kg,65.00/Kg,400.0,Trans-Nzoia,2026-01-20,1,Product-1
Dry Maize,White Maize,-,-,Chebunyo,50.00/Kg,60.00/Kg,18000.0,Bomet,2026-01-19,1,Product-1
Dry Maize,White Maize,-,-,Butere Livestock Market,43.33/Kg,50.00/Kg,10350.0,Kakamega,2026-01-19,1,Product-1
Dry Maize,White Maize,-,-,Kerugoya,50.00/Kg,70.00/Kg,4600.0,Kirinyaga,2026-01-19,1,Product-1
Dry Maize,White Maize,-,-,Kawangware,40.00/Kg,60.00/Kg,,Nairobi,2026-01-19,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-01-19,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,50.00/Kg,65.00/Kg,,Nairobi,2026-01-19,1,Product-1
Dry Maize,White Maize,-,-,Muhoroni,44.00/Kg,48.00/Kg,3500.0,Kisumu,2026-01-18,1,Product-1
Dry Maize,White Maize,-,-,Khayega,51.11/Kg,533.33/Kg,18000.0,Kakamega,2026-01-18,1,Product-1
